codigo,artista,musica,letra
01272,Janaynna Targino,Sacanagem Tua,Sacanagem tua me deixar na rua
01273,Legião Urbana,Se Fiquei Esperando Meu Amor Passar,Se fiquei esperando meu amor passar
01274,Banda Calypso,Sem Direção,Eu tenho andado tão carente tão fora
01275,Silvia Machete,Simplesmente Mulher,Tantas... sou só uma e sou tantas
01276,Ângela Maria,Tango Pra Tereza,Hoje alguém pôs a rodar um disco
01277,Fernanda Takai,Trevo De Quatro Folhas,Vivo esperando e procurando
01278,Elizeth Cardoso,Última Forma,É como eu falei não ia durar
01279,Fino Coletivo,Uma Raiz Uma Flor,Não diga que as estrelas estão mortas
01280,Leonardo,Viajei,Não quis dizer não quis falar
01281,Armandinho,A Filha,Quando me dá uma louca
01282,LS Jack,Amanhã Não Se Sabe,Como as folhas com o vento
01283,Daniel,Boêmio Apaixonado,Sou um viajante que passa
01284,Chico Buarque,Brisa Do Mar,Brisa do mar
01285,Madrigal,Cabocla,Quando a luz do sol invade o céu
01286,Djavan,Capim,Capim do vale
01287,Ângela Maria e Emílio Santiago,Escuta,Escuta
01288,Chico Buarque e Elza Soares,Façamos (Vamos Amar),Os cidadãos no Japão fazem
01289,Gilberto Gil,Forró No Escuro,O candeeiro se apagou o sanfoneiro
01290,Teodoro e Sampaio,Homem Que Bate Em Mulher,Homem que bate em mulher covarde é
01291,Chico Buarque,Homenagem Ao Malandro,Eu fui fazer um samba em homenagem
01292,Jorge Vercillo,Invisível,Quando passou aqui você me abalou
01293,Cidade Negra,Johnny B. Good,Lá no meio da baixada um gueto do Bra
01294,Erasmo Carlos,Lero Lero,Meu bem
01295,Silvio César,Levante Os Olhos,Levante os olhos
01296,"Chico Buarque, Miúcha e Tom Jobim",Maninha,Se lembra da fogueira
01297,Adriana Calcanhoto,Maresia,Meu amor me deixou levou minha identi
01298,Lenine,Mero Detalhe,Não faz a menor diferença
01299,Sérgio Reis,Meu Cavalo Zaino,Eu tenho um cavalo zaino
01300,Banda Djavú,Não Desliga O Telefone,Amor por favor não desliga o telefon
01301,Dick Farney,Nick Bar,Foi neste bar pequenino onde encontre
01302,Leila Pinheiro,Nua Idéia,Lua cheia ilumina minha vida
01303,Erasmo Carlos,O Caderninho,Eu queria ser o seu caderninho
01304,Roberto Leal,O Imigrante,Tantos sonhos são desfeitos
01305,Zé Ramalho,O Vento Vai Responder,Quantos caminhos se tem que andar
01306,Detonautas,Olhos Certos,Tento te encontrar
01307,Zezé Di Camargo e Luciano,Pra Sempre,Vai... longe muito longe
01308,Eduardo Costa,Primeiro De Abril,Se eu bebi
01309,João Bosco,Quando O Amor Acontece,Coração sem perdão
01310,Leny Andrade,Rio,Rio que mora no mar
01311,Cassiano,Salve Essa Flor,De um jardim sem cor
01312,Peri Ribeiro,Samba Do Avião,Minha alma canta
01313,Nenhum de Nós,Santa Felicidade,Traga sua alegria e mude minha vida
01314,Maria Gadú,Shimbalaiê,Shimbalaiê
01315,Falamansa,Tempo De Paz,Tudo que eu te desejo é sorte nessa
01316,Padre Fábio de Mello,Tudo Posso,Posso tudo posso
01317,Dorival Caymmi,Vatapá,Quem quiser vatapá ô que procure faze
01318,Ataíde e Alexandre,Você Marcou Pra Mim,Quando eu acordei pela manhã
01319,Márcio Greyck,Você Veio,Você veio pra mudar a minha história
01320,Elis Regina,Vou Deitar E Rolar,Não venha querer se consolar
01321,Zé Rodrix,Abaixo A Cueca,Homens chegou o momento...
01322,Armandinho,Babilônia Me Chama,Babilônia me chama...
01323,Belchior,Comentários A Respeito De John,Saia do meu caminho...
01324,Cláudio Zoli,Flor Do Futuro,Tudo bem...
01325,Ivete Sangalo,Na Base Do Beijo,Quando eu te pegar você...
01326,Hyldon,Na Sombra De Uma Árvore,Larga de ser boba e vem...
01327,Milionário e José Rico,Nenhuma Esperança,Você tem meu endereço...
01328,Banda Cheiro de Amor,Pense Em Mim,Inspiração dos meus sonhos...
01329,César Menotti e Fabiano,Tarde Demais,Só tem um jeito de você...
01330,Jorge e Mateus,Voa Beija Flor,Você não sabe o que é amor
01331,Chitãozinho e Xororó,Ai Maria,Ai Maria...
01332,Raça Negra,Boa Sorte,Me cansei de tudo que...
01333,Kátia,Direitos,Você me aceitou...
01334,Tim Maia,Está Difícil De Esquecer,Não foi nada em vão...
01335,Leonardo,Flor Do Meu Sertão,Saudade quando chega...
01336,Wando,Gazela,Houve um tempo...
01337,Banda Eva,Lugar Da Alegria,Eu quero o que se dá do seu...
01338,Luan Santana,Meteoro,Te dei o sol te dei o mar...
01339,Rick Vallen,Pra Ser Amor,Pra ser amor...
01340,Celia,Rio De Janeiro (Isso É O Meu Brasil),Oh...
01341,Bruno e Marrone,Te Amo Tanto,Tanto...
01342,Victor e Leo,Timidez,Timidez nunca me deixou...
01343,Kelly Key,Tô Fora,Podia ser muito melhor...
01344,Joana,Tô Morrendo De Saudade,Hoje a gente nem se fala...
01345,Só Pra Contrariar,Tudo Menos Amor,Tudo que quiseres te darei...
01346,Enzo e Rodrigo,Traz De Volta A Minha Vida,Outra vez você se foi e...
01347,Marcos e Belutti,Tudo No Olhar,Olhe nos meus olhos...
01348,Ângela Rô Rô,Viciei Em Você,Eu não quero mais querer...
01349,Frenéticas,Você Escolheu Errado Seu Super-Herói,Se você pensa que é Átila...
01350,Luan Santana,Você Não Sabe O Que É Amor,Não use mais o plural...
01351,Tunai,Adeus Á Dor,Pelo que se passou pelo...
01352,Daniel,Amiga,Você não aceita que eu...
01353,Calcinha Preta,Bebo E Choro,Eu choro feito um menino...
01354,Aviões do Forró,Blá Blá Blá,Que por mim você morre...
01355,Max Vianna,Canções De Rei,Se eu fosse algum rei...
01356,Eduardo Costa,Cansei De Ser Palhaço,Brigou chingou me deixou...
01357,Eduardo Costa,Cena De Um Filme,Eu amei um alguém que me...
01358,Wilson Sideral,Cinco Dias,Lá longe vai um automóvel...
01359,Fernando e Sorocaba,Delegada,Delegada...
01360,Ronnie Von,Dia De Folga,Eu almoço sozinho e você...
01361,Victor e Leo,Estrela Cadente,Pararara papararara...
01362,Latino,Eu Amo Você,Faz tempo que eu preciso...
01363,Megh Stock,Inveja,O seu sorriso sempre foi...
01364,Caetano Veloso,"Minha Voz, Minha Vida",Minha voz minha vida...
01365,Joana,Nada Sério,Nada sério era sempre...
01366,Maria Cecília e Rodolfo,Quem Ama Cuida,Não ligue se eu lhe perguntar...
01367,Grupo Redenção,Samba Pra Yo Yo E Ya Ya,Vem cantar vem sambar...
01368,João Bosco e Vinícius,Sem Esse Coração,Eu queria amar um pouco...
01369,Paula Fernandes,Sem Você,Nas incertezas de um...
01370,Ronnie Von,Tempo De Acordar,Eu acordei e notei...
01371,Fernando e Sorocaba,A Casa Caiu,Eu tenho mais o que fazer...
01372,Dorival Caymmi e Nana Caymmi,Acalanto,É tão tarde a manhã já vem...
01373,Jorge e Mateus,Amor Covarde,Quando a gente fica junto...
01374,Victor e Leo,Ao Vivo E Em Cores,Sem palavras assisto você...
01375,Beth Carvalho,Cabô Meu Pai,O pai me disse que a...
01376,Antônio Marcos,Cara A Cara,Cara a cara cara a cara...
01377,Jorge Benjor,Carolina Carol Bela,Foi numa tarde de domingo...
01378,Vavá,Dona Carola,Levantei-me da cama sem...
01379,Guilherme e Santiago,E Daí,E daí...
01380,NX Zero,Espero A Minha Vez,Se o medo e a cobrança...
01381,Chicabana,Eu Quero Só Você,Ô ô ô ô ô ô ô ô ô ô ô ô...
01382,Itamar Assumpção,Fico Louco,Fico louco faço cara de mau...
01383,Bruna Caram,Fim De Tarde,Eu só desperto quando...
01384,Cássia Eller,Gatas Extraordinárias,O amor me pegou...
01385,Biafra,Leão Ferido,Feche os olhos não te quero...
01386,Secos e Molhados,Muitas Pessoas,Muitas pessoas sonharam...
01387,Belchior,Na Hora Do Almoço,No centro da sala diante...
01388,Alisson e Ryan,Não Sou Seu Brinquedo,Pára dá um tempo vê se...
01389,Rodrigo Santos,Não Vá,Tenho saudades da nossa...
01390,Molejo,Né Brinquedo Não,Né brinquedo não né...
01391,Cidade Negra,Negro Rei,Ayê ayê Mãe África...
01392,João Neto e Frederico,O Cara Errado,Alô Galera do boteco...
01393,Zezé Di Camargo e Luciano,O Povo Fala E Nóis Namora,Deixa o povo falar...
01394,Bruna Caram,Palavras Do Coração,São sorrisos largos lagos...
01395,Nila Branco,Pra Te Amar,Você vem com essa de ir...
01396,Latino e Bruno e Marrone,Preciso Parar De Chorar,Ah o que eu fui fazer...
01397,Antônio Marcos,Quem Dá Mais,Eu quero me ver...
01398,Parangolé,Rebolation,Rebolation é bom bom...
