code,name,Artista,Musica,Letra
04053,04053.mp4,Skank,Siderado,Porque eu te espero na neblina
04054,04054.mp4,Engenheiros do Hawaii,Somos Quem Podemos Ser,Um dia me disseram
04055,04055.mp4,Daniela Mercury,Swing Da Cor,"Não, não me abandone"
04056,04056.mp4,Terrasamba,Tá Tirando Onda,"Tá tirando onda, tá tirando ondinha"
04057,04057.mp4,Maria Bethânia,Tigresa,Uma tigresa de unhas negras
04058,04058.mp4,Ritchie,Transas,Tanto tempo faz que a gente transa
04059,04059.mp4,Paulo Ricardo,Tudo Por Nada,Se eu soubesse que ia ser assim
04060,04060.mp4,Amado Batista,24 Horas No Ar,Pare de pensar em besteira
04061,04061.mp4,É O Tchan,A Nova Loira Do Tchan,Luz na passarela que já vem ela
04062,04062.mp4,Elba Ramalho,Ai Que Saudade D'Ocê,Não se admire se um dia um
04063,04063.mp4,Elis Regina,Alô Alô Marciano,"Alô, alô marciano"
04064,04064.mp4,Guilherme Arantes,Amanhã,"Amanhã, será um lindo dia"
04065,04065.mp4,Gilberto Gil,Andar Com Fé,"Andar com fé eu vou, que a fé não"
04066,04066.mp4,Banda Cheiro de Amor,Aviãozinho,"Voa, voa aviãozinho, vai buscar"
04067,04067.mp4,Altemar Dutra,Brigas,Veja só que tolice nós dois
04068,04068.mp4,Banda Eva,Carro Velho,Cheiro de pneu queimado
04069,04069.mp4,Exaltasamba,Cartão Postal,Como sempre distraída te filmei
04070,04070.mp4,Raul Seixas,Como Vovó Já Dizia,Quem não tem colírio usa óculos
04071,04071.mp4,Alceu Valença,Coração Bobo,Meu coração tá batendo...
04072,04072.mp4,Daniel,Declaração De Amor,Minha vida e o meu mundo
04073,04073.mp4,Eliana e Molejo,Dia De Alegria,Hoje é dia de folia
04074,04074.mp4,Zezé Di Camargo e Luciano,Dois Amigos,Amigo eu vim aqui pra te falar
04075,04075.mp4,Luis Miguel,El Dia Que Me Quieras,Acaricia mi sueño
04076,04076.mp4,Rick e Renner,Ela É Demais,Ela tem um jeito lindo de me olhar
04077,04077.mp4,Sandy e Toquinho,Era Uma Vez,"Era uma vez, um lugarzinho"
04078,04078.mp4,Padre Marcelo Rossi,Erguei As Mãos,Erguei as mãos e dái glória a Deus
04079,04079.mp4,Alcione e Alexandre Pires,Estranha Loucura,Minha estranha loucura
04080,04080.mp4,Chitãozinho e Xororó,Eu Menti,Eu menti pra você
04081,04081.mp4,Placa Luminosa,Fica Comigo,Amo você fica comigo
04082,04082.mp4,Tunai,Frisson,Meu coração pulou
04083,04083.mp4,Fat Family,Jeito Sexy,"Oh baby, dance, dance, dance"
04084,04084.mp4,Luíz Melodia,Juventude Transviada,Lava roupa todo dia que agonia
04085,04085.mp4,Fábio Júnior,Na Canção,Isso é pra quem não acredita
04086,04086.mp4,Negritude Júnior,Nossa Cama É Uma Loucura,Quando as palavras se cruzam
04087,04087.mp4,Roberto Carlos,Nossa Senhora,Cubra-me com seu manto de amor
04088,04088.mp4,Zeca Pagodinho,O Dono Da Dor,Queria felicidade não pra me
04089,04089.mp4,Gian e Giovani,O Grande Amor Da Minha Vida,A gente morou e cresceu na mesma
04090,04090.mp4,Katinguelê,Pertinho,Te sinto tão pertinho quando fico
04091,04091.mp4,Elymar Santos,Pôxa,Pôxa... Como foi bacana te encontrar
04092,04092.mp4,Nativus,Presente De Um Beija-Flor,O beija-flor que trouxe meu amor
04093,04093.mp4,Novos Baianos,"Preta, Pretinha","Preta, preta, pretinha"
04094,04094.mp4,Companhia do Pagode,"Psiu, Psiu",Psiu psiu
04095,04095.mp4,Tânia Alves,Sabor De Mim,Quanto tempo desfrutamos desse
04096,04096.mp4,Djavan,Samurai,Ah! Quanto querer cabe em meu
04097,04097.mp4,Benito Di Paula,Se Não For Amor,Você me olha desse jeito
04098,04098.mp4,Vinny,Shake Bom,Yeh aha bota lenha na fogueira
04099,04099.mp4,Os Morenos,"Tô Dentro, Tô Fora",Festa de aniversário tô dentro
